Closing Date,City,SP,SqFt,Sale $/SqFt,Age
12/13/2016,DANVILLE,"$710,000 ",1742,$408 ,37
11/15/2016,DANVILLE,"$715,000 ",1447,$494 ,28
9/13/2016,DANVILLE,"$750,000 ",1860,$403 ,53
7/1/2016,DANVILLE,"$746,000 ",1447,$516 ,27
11/4/2016,DANVILLE,"$780,000 ",1542,$506 ,33
6/28/2016,DANVILLE,"$830,000 ",1633,$508 ,27
3/24/2016,DANVILLE,"$871,000 ",1455,$599 ,66
4/8/2016,DANVILLE,"$910,000 ",1466,$621 ,65
8/4/2016,DANVILLE,"$817,500 ",1644,$497 ,27
6/24/2016,DANVILLE,"$810,000 ",1520,$533 ,27
10/4/2016,DANVILLE,"$786,000 ",1131,$695 ,65
8/31/2016,DANVILLE,"$815,000 ",1744,$467 ,29
7/28/2016,DANVILLE,"$830,000 ",1375,$604 ,20
5/31/2016,DANVILLE,"$850,000 ",1632,$521 ,27
3/10/2016,DANVILLE,"$839,000 ",1672,$502 ,33
2/8/2016,DANVILLE,"$842,000 ",1206,$698 ,65
1/8/2016,DANVILLE,"$835,000 ",1375,$607 ,21
6/23/2016,DANVILLE,"$860,000 ",1598,$538 ,40
5/18/2016,DANVILLE,"$887,000 ",2080,$426 ,27
2/29/2016,DANVILLE,"$850,000 ",1802,$472 ,41
3/29/2016,DANVILLE,"$825,000 ",1650,$500 ,39
8/31/2016,DANVILLE,"$847,500 ",1932,$439 ,27
1/5/2016,DANVILLE,"$850,000 ",2052,$414 ,21
1/20/2016,DANVILLE,"$875,000 ",2070,$423 ,50
4/15/2016,DANVILLE,"$910,000 ",2038,$447 ,44
3/17/2016,DANVILLE,"$905,000 ",1524,$594 ,23
5/23/2016,DANVILLE,"$935,000 ",2080,$450 ,27
9/13/2016,DANVILLE,"$880,000 ",1746,$504 ,32
9/12/2016,DANVILLE,"$867,500 ",1291,$672 ,56
6/14/2016,DANVILLE,"$921,000 ",1626,$566 ,46
2/17/2016,DANVILLE,"$880,000 ",1948,$452 ,39
4/29/2016,DANVILLE,"$920,000 ",1650,$558 ,40
3/16/2016,DANVILLE,"$930,000 ",1700,$547 ,25
4/5/2016,DANVILLE,"$950,000 ",1948,$488 ,38
12/26/2016,DANVILLE,"$870,000 ",1902,$457 ,18
8/15/2016,DANVILLE,"$918,000 ",1585,$579 ,25
10/31/2016,DANVILLE,"$899,000 ",1691,$532 ,40
6/16/2016,DANVILLE,"$887,000 ",1544,$574 ,21
8/16/2016,DANVILLE,"$935,000 ",1595,$586 ,19
8/17/2016,DANVILLE,"$892,000 ",2080,$429 ,27
12/15/2016,DANVILLE,"$895,000 ",1802,$497 ,41
3/16/2016,DANVILLE,"$900,000 ",1943,$463 ,56
10/7/2016,DANVILLE,"$899,000 ",1705,$527 ,39
6/3/2016,DANVILLE,"$886,000 ",1690,$524 ,2
7/6/2016,DANVILLE,"$831,600 ",1900,$438 ,46
8/12/2016,DANVILLE,"$900,000 ",1349,$667 ,67
8/19/2016,DANVILLE,"$900,000 ",2137,$421 ,40
10/3/2016,DANVILLE,"$920,000 ",1747,$527 ,46
4/26/2016,DANVILLE,"$962,000 ",1769,$544 ,38
4/22/2016,DANVILLE,"$905,000 ",1650,$548 ,40
11/15/2016,DANVILLE,"$905,000 ",1650,$548 ,40
9/22/2016,DANVILLE,"$885,000 ",1645,$538 ,22
3/28/2016,DANVILLE,"$900,000 ",1691,$532 ,40
12/13/2016,DANVILLE,"$900,000 ",1651,$545 ,40
4/28/2016,DANVILLE,"$950,000 ",1948,$488 ,39
11/17/2016,DANVILLE,"$890,000 ",1968,$452 ,47
11/10/2016,DANVILLE,"$920,000 ",1679,$548 ,21
8/24/2016,DANVILLE,"$910,000 ",1874,$486 ,46
6/23/2016,DANVILLE,"$940,000 ",1770,$531 ,40
2/11/2016,DANVILLE,"$940,000 ",2045,$460 ,23
9/30/2016,DANVILLE,"$958,000 ",2302,$416 ,40
11/4/2016,DANVILLE,"$967,100 ",1943,$498 ,50
3/30/2016,DANVILLE,"$929,000 ",1943,$478 ,50
2/23/2016,DANVILLE,"$955,000 ",1714,$557 ,27
1/15/2016,DANVILLE,"$950,000 ",1706,$557 ,8
9/23/2016,DANVILLE,"$930,000 ",1880,$495 ,46
6/7/2016,DANVILLE,"$954,000 ",1772,$538 ,41
5/18/2016,DANVILLE,"$930,000 ",1770,$525 ,40
7/14/2016,DANVILLE,"$925,000 ",2280,$406 ,41
6/10/2016,DANVILLE,"$970,000 ",1738,$558 ,18
